accession_number,public_domain,department,object_name,title,Artist Role,Artist Prefix,Artist Display Name,Artist Suffix,Artist Alpha Sort,Artist Nationality,Artist Begin Date,Artist End Date,Object Date,object_begin_date,object_end_date,acquisition_type,acquisition_date,city,country,region,classification,rights,web_link,Repository,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.12.2,TRUE,American Decorative Arts,Armchair,Spindle-back armchair,,,,,,,,,1640–80,1640,1680,Gift of Mrs. J. Insley Blair,1951,Boston,United States,,Furniture,,http://www.metmuseum.org/art/collection/search/200,Metropolitan Museum of Art New York NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970.35.1,TRUE,American Decorative Arts,Armchair,Armchair,Maker,Attributed to,Pottier and Stymus Manufacturing Company,,Pottier and Stymus Manufacturing Company ,,1859,1910,ca. 1870–75,1867,1875,Funds from various donors,1970,New York,United States,,Furniture,,http://www.metmuseum.org/art/collection/search/237,Metropolitan Museum of Art New York NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54.167,TRUE,American Decorative Arts,Basket,Basket,Maker,,Myer Myers,,"Myers, Myer",American,1723,1795,1770–76,1770,1776,Morris K. Jesup Fund,1954,New York,United States,,Silver,,http://www.metmuseum.org/art/collection/search/364,Metropolitan Museum of Art New York NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.3.1,TRUE,American Decorative Arts,Basin,Basin,Artist,,Master Potter A,,Master Potter A,,,,ca. 1650,1647,1650,Gift of Mrs. Robert W. de Forest,1912,,Mexico,,Ceramics,,http://www.metmuseum.org/art/collection/search/674,Metropolitan Museum of Art New York NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.63,TRUE,American Decorative Arts,Bowl,Two-handled Bowl,Maker,,Cornelius Kierstede,,"Kierstede, Cornelius",American,1674,1760,1700–1710,1700,1710,Samuel D. Lee Fund,1938,New York,United States,,Silver,,http://www.metmuseum.org/art/collection/search/802,Metropolitan Museum of Art New York NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"77.9a, b",TRUE,American Decorative Arts,Vase,The Bryant Vase,Designer|Manufacturer|Decorator|Designer,Designed by|Manufactured by|Chased by|Medallions by,James Horton Whitehouse|Tiffany & Co.|Eugene J. Soligny|Augustus Saint-Gaudens,,"Whitehouse, James Horton|Tiffany & Co.|Soligny, Eugene J.|Saint-Gaudens, Augustus",American,1833      |1837      |1832      |1848      ,1902      |Present      |1901      |1907      ,1875–76,1875,1876,Gift of William Cullen Bryant,1877,New York,United States,,Silver,,http://www.metmuseum.org/art/collection/search/1029,Metropolitan Museum of Art New York NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.125.83,TRUE,American Decorative Arts,Bureau table,Bureau table,Maker,Attributed to,John Townsend,,"Townsend, John",American,1732,1809,ca. 1765,1762,1765,Gift of Mrs. Russell Sage,1909,Newport,United States,,Furniture,,http://www.metmuseum.org/art/collection/search/1047,Metropolitan Museum of Art New York NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985.116,TRUE,American Decorative Arts,Cabinet,Cabinet,Maker,Attributed to,Daniel Pabst,,"Pabst, Daniel",American,1826,1910,ca. 1877–80,1874,1880,Friends of the American Wing Fund,1985,Philadelphia,United States,,Furniture,,http://www.metmuseum.org/art/collection/search/1083,Metropolitan Museum of Art New York NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68.100.1,TRUE,American Decorative Arts,Cabinet,Cabinet,Maker,,Alexander Roux,,"Roux, Alexander",French,1813,1886,ca. 1866,1863,1866,Purchase The Edgar J. Kaufmann Foundation Gift,1968,New York,United States,,Furniture,,http://www.metmuseum.org/art/collection/search/1084,Metropolitan Museum of Art New York NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986.237,TRUE,American Decorative Arts,Celery vase,Celery vase,Maker,Attributed to,Boston & Sandwich Glass Company,,Boston and Sandwich Glass Company ,,1825,1888,1827–35,1827,1835,Purchase Mr. and Mrs. Paul Greenwood Gift,1986,Sandwich,United States,,Glass,,http://www.metmuseum.org/art/collection/search/1503,Metropolitan Museum of Art New York NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987.12,TRUE,American Decorative Arts,Vase,Century Vase,Maker,,Karl L. H. Müller,,"Müller, Karl L. H.",American,1817,1890,1877,1877,1877,Friends of the American Wing Fund,1987,Brooklyn,United States,,Ceramics,,http://www.metmuseum.org/art/collection/search/1524,Metropolitan Museum of Art New York NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62.16,TRUE,American Decorative Arts,Side Chair,Side Chair,Maker,Attributed to,Samuel McIntire,,"McIntire, Samuel",,1757,1811,1794–99,1794,1799,Friends of the American Wing Fund,1962,Salem,United States,,Furniture,,http://www.metmuseum.org/art/collection/search/1674,Metropolitan Museum of Art New York NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65.167.6,TRUE,American Decorative Arts,Side Chair,Side Chair,Maker|Maker,Attributed to|Attributed to,John Finlay|Hugh Finlay,,"Finlay, John|Finlay, Hugh",,1796      |1797      ,1833      |1837      ,1815–20,1815,1820,Purchase Mrs. Paul Moore Gift,1965,Baltimore,United States,,Furniture,,http://www.metmuseum.org/art/collection/search/1815,Metropolitan Museum of Art New York NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.125.685,TRUE,American Decorative Arts,Chest,Chest,Maker|Maker,Possibly,Thomas Dennis|William Searle,,"Dennis, Thomas|Searle, William",,1638      |1611      ,1706      |1667      ,1663–80,1663,1680,Gift of Mrs. Russell Sage,1909,Ipswich,United States,,Furniture,,http://www.metmuseum.org/art/collection/search/1997,Metropolitan Museum of Art New York NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33.120.221,TRUE,American Decorative Arts,Chocolate Pot,Chocolate Pot,Maker,,Edward Winslow,,"Winslow, Edward",American,1669,1753,1700–1710,1700,1710,Bequest of Alphonso T. Clearwater,1933,Boston,United States,,Silver,,http://www.metmuseum.org/art/collection/search/2059,Metropolitan Museum of Art New York NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"28.52a, b",TRUE,American Decorative Arts,Goblet,Covered goblet,Maker|Maker,,New Bremen Glass Manufactory|John Frederick Amelung,,"New Bremen Glass Manufactory |Amelung, John Frederick",,1784      |1784      ,1795      |1791      ,1788,1788,1788,Rogers Fund,1928,New Bremen,United States,,Glass,,http://www.metmuseum.org/art/collection/search/2390,Metropolitan Museum of Art New York NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.95.16,TRUE,American Decorative Arts,Sugar pot,Sugar pot,,,,,,,,,1820–40,1820,1840,Rogers Fund,1918,,United States,,Ceramics,,http://www.metmuseum.org/art/collection/search/2408,Metropolitan Museum of Art New York NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.21.2,TRUE,American Decorative Arts,Desk and bookcase,Desk and bookcase,,,,,,,,,1760–90,1760,1790,Rogers Fund,1915,Newport,United States,,Furniture,,http://www.metmuseum.org/art/collection/search/3141,Metropolitan Museum of Art New York NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69.203,TRUE,American Decorative Arts,Desk and bookcase,Desk and Bookcase,,,,,,,,,ca. 1811,1808,1811,Gift of Mrs. Russell Sage and various other donors by exchange,1969,Baltimore,United States,,Furniture,,http://www.metmuseum.org/art/collection/search/3152,Metropolitan Museum of Art New York NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
