Object Number	Is Public Domain	Department	Object Name	Title	Culture	Artist Role	Artist Prefix	Artist Display Name	Artist Suffix	Artist Alpha Sort	Artist Nationality	Artist Begin Date	Artist End Date	Object Date	Object Begin Date	Object End Date	Medium	Dimensions	Credit Line	Acquisition Date	City	State	County	Country	Region	Classification	Rights and Reproduction	Link Resource	Repository
51.12.2	True	American Decorative Arts	Armchair	Spindle-back armchair	American									1640–80	1640	1680	Ash	44 3/4 x 23 1/2 x 15 3/4 in. (113.7 x 59.7 x 40 cm)	Gift of Mrs. J. Insley Blair, 1951		Boston|Charlestown			United States|United States		Furniture		http://www.metmuseum.org/art/collection/search/200	Metropolitan Museum of Art, New York, NY
1970.35.1	True	American Decorative Arts	Armchair	Armchair	American	Maker	Attributed to	Pottier and Stymus Manufacturing Company		Pottier and Stymus Manufacturing Company		1859	1910	ca. 1870–75	1867	1875	Rosewood, prickly juniper veneer	37 x 27 1/2 x 27 1/2 in. (94 x 69.9 x 69.9 cm)	Funds from various donors, 1970		New York			United States		Furniture		http://www.metmuseum.org/art/collection/search/237	Metropolitan Museum of Art, New York, NY
54.167	True	American Decorative Arts	Basket	Basket	American	Maker		Myer Myers		Myers, Myer	American	1723	1795	1770–76	1770	1776	Silver	11 3/16 x 14 7/16 x 11 3/8 in. (28.4 x 36.7 x 28.9 cm); 41 oz. 5 dwt. (1282.7 g)	Morris K. Jesup Fund, 1954		New York			United States		Silver		http://www.metmuseum.org/art/collection/search/364	Metropolitan Museum of Art, New York, NY
12.3.1	True	American Decorative Arts	Basin	Basin	Mexican	Artist		Master Potter A		Master Potter A				ca. 1650	1647	1650	Tin-glazed earthenware	Diam. 20 3/4 in. (52.7 cm)	Gift of Mrs. Robert W. de Forest, 1912					Mexico		Ceramics		http://www.metmuseum.org/art/collection/search/674	Metropolitan Museum of Art, New York, NY
38.63	True	American Decorative Arts	Bowl	Two-handled Bowl	American	Maker		Cornelius Kierstede		Kierstede, Cornelius	American	1674	1760	1700–1710	1700	1710	Silver	"Overall: 5 3/8 x 13 13/16 in. (13.7 x 35.1 cm); 25 oz. 19 dwt. (806.9 g)
Lip: Diam. 9 11/16 in. (24.6 cm)
Foot: Diam. 4 13/16 in. (12.2 cm)"	Samuel D. Lee Fund, 1938		New York			United States		Silver		http://www.metmuseum.org/art/collection/search/802	Metropolitan Museum of Art, New York, NY
77.9a, b	True	American Decorative Arts	Vase	The Bryant Vase	American	Designer|Manufacturer|Decorator|Designer	Designed by|Manufactured by|Chased by|Medallions by	James Horton Whitehouse|Tiffany & Co.|Eugene J. Soligny|Augustus Saint-Gaudens		Whitehouse, James Horton|Tiffany & Co.|Soligny, Eugene J.|Saint-Gaudens, Augustus	American	1833      |1837      |1832      |1848	1902      |Present      |1901      |1907	1875–76	1875	1876	Silver	33 1/2 x 14 x 11 5/16 in. (85.1 x 35.6 x 28.7 cm); Diam. 11 5/16 in. (28.7cm); 452 oz. 16 dwt. (14084.2 g)	Gift of William Cullen Bryant, 1877		New York			United States		Silver		http://www.metmuseum.org/art/collection/search/1029	Metropolitan Museum of Art, New York, NY
10.125.83	True	American Decorative Arts	Bureau table	Bureau table	American	Maker	Attributed to	John Townsend		Townsend, John	American	1732	1809	ca. 1765	1762	1765	Mahogany, chestnut, tulip poplar	34 3/8 x 36 1/2 x 20 1/2 in. (87.3 x 92.7 x 52.1 cm)	Gift of Mrs. Russell Sage, 1909		Newport			United States		Furniture		http://www.metmuseum.org/art/collection/search/1047	Metropolitan Museum of Art, New York, NY
1985.116	True	American Decorative Arts	Cabinet	Cabinet	American	Maker	Attributed to	Daniel Pabst		Pabst, Daniel	American	1826	1910	ca. 1877–80	1874	1880	Walnut, maple, white pine, glass	96 x 42 x 20 in. (243.8 x 106.7 x 50.8 cm)	Friends of the American Wing Fund, 1985		Philadelphia			United States		Furniture		http://www.metmuseum.org/art/collection/search/1083	Metropolitan Museum of Art, New York, NY
68.100.1	True	American Decorative Arts	Cabinet	Cabinet	American	Maker		Alexander Roux		Roux, Alexander	French	1813	1886	ca. 1866	1863	1866	Rosewood, tulipwood, cherry, poplar, pine	53 3/8 x 73 3/8 x 18 3/8 in. (135.6 x 186.4 x 46.7 cm)	Purchase, The Edgar J. Kaufmann Foundation Gift, 1968		New York			United States		Furniture		http://www.metmuseum.org/art/collection/search/1084	Metropolitan Museum of Art, New York, NY
1986.237	True	American Decorative Arts	Celery vase	Celery vase	American	Maker	Attributed to	Boston & Sandwich Glass Company		Boston and Sandwich Glass Company		1825	1888	1827–35	1827	1835	Pressed glass	H. 7 5/16 in. (18.6 cm); Diam. 4 9/16 in. (11.6 cm)	Purchase, Mr. and Mrs. Paul Greenwood Gift, 1986		Sandwich			United States		Glass		http://www.metmuseum.org/art/collection/search/1503	Metropolitan Museum of Art, New York, NY
1987.12	True	American Decorative Arts	Vase	Century Vase	American	Maker		Karl L. H. Müller		Müller, Karl L. H.	American	1817	1890	1877	1877	1877	Porcelain	12 3/4 x 10 1/4 in. (32.4 x 26 cm)	Friends of the American Wing Fund, 1987		Brooklyn			United States		Ceramics		http://www.metmuseum.org/art/collection/search/1524	Metropolitan Museum of Art, New York, NY
62.16	True	American Decorative Arts	Side Chair	Side Chair	American	Maker	Attributed to	Samuel McIntire		McIntire, Samuel		1757	1811	1794–99	1794	1799	Mahogany, ebony, ash, birch, white pine	37 7/8 x 27 7/8 x 18 in. (96.2 x 70.8 x 45.7 cm)	Friends of the American Wing Fund, 1962		Salem			United States		Furniture		http://www.metmuseum.org/art/collection/search/1674	Metropolitan Museum of Art, New York, NY
