City	Country
Aachen	Germany
Alexandria	Egypt
Amiens	France
Amsterdam	Netherlands
Amsterdam: Apud Joannem Janssonium a Waesberge	
Antioch or Kaper Koraon (?)	
Augsburg	Germany
Augsburg	
Augsburg?	Germany
Avignon	France
Baghdad	Iraq
Baltimore	United States
Baltimore	
Basel	Switzerland
Beijing	China
Benevento (perhaps)	
Berlin: Ernst Steiniger Druck-und Verlagsanstalt	
Bidar	India
Bijapur	India
Bijapur or Golconda	India
Biloxi	United States
Boston	United States
Boston	
Boston: Isaiah Thomas and Ebenezer T. Andrews	
Boston|Charlestown	United States|United States
Bougouni or Dioila region	Mali
Bristol	United States
Brooklyn	United States
Brussels	Belgium
Buli village	Democratic Republic of the Congo
Butzbach	Germany
Cairo	Egypt
Calcutta	India
Canterbury	
Chiloango River region	Republic of the Congo or Cabinda, Angola
Chuquibamba	Peru
Coldenham	United States
Cologne	Germany
Constance	
Constantinople	
Constantinople (?)	
Court of Benin	Nigeria
Cremona	Italy
Damascus	Syria
Dresden	Germany
Dresden|Toledo	
Ebreichsdorf	Lower Austria
Efon-Alaiye region	Nigeria
Firenze|Pisa	Italy|Italy
Flemington	United States
Florence	Italy
Ghent	Belgium
Greenwich	
Gurgan	Iran
Hamburg	Germany
Hangchow	China
Hanover	Germany
Hartford	
Hatfield	United States
Herat	present-day Afghanistan
Innsbruck	Austria
Ipswich	United States
Isfahan	Iran
Istanbul	Turkey
Istanbul	
Iznik	Turkey
Iztlan del Río	Mexico
Jersey City	United States
Jettingen	Germany
Kabiterau village	Indonesia
Kashan	Iran
Kashmir or Lahore	Northern India or Pakistan
Kirman	Iran
Köln	Germany
Lahore	present-day Pakistan
Lerida	Spain
León	Spain
Limoges	France
Lisieux	
Litchfield	United States
London	England
London	United Kingdom
London	
London: published for the author	
Lucca	Italy
Lvgdvni	
Madrid	Spain
Mandalay?	Myanmar (formerly Burma)
Manheim	United States
Manises (Valencia)	Spain
Middelburg	The Netherlands
Milan	Italy
Milan	
Milan (?)	Italy
Milan (?)	
Milan?	Italy
Mindanao	Philippines
Miwa, Nara Prefecture	Japan
Munich	Germany
Munich	
Naples	Italy
Neuwied	Germany
New Bremen	United States
New Haven	United States
New York	United States
New York	
New York|Ahmedabad	United States|India
Newport	United States
Nishapur	Iran
Nishapur|Nishapur	Iran|Iran
Nissan or Bougainville Island	Papua New Guinea
Nsukka	Nigeria
Nuremberg	Germany (?)
Nuremberg	
Nusa Tenggara	Indonesia
Nürnberg	Germany
Omadesep village	Indonesia
Orokolo village	Papua New Guinea
Pai'ia'a village	Papua New Guinea
Paris	France
Paris	
Paris: A. Levy	
Paris: Chez Gervais Clousier, au Palais	
Paris|Paris	France|France
Philadelphia	United States
Pistoia	Italy
Pittsburgh	United States
Poligny	
Prague	
Providence	United States
Rio de Janeiro	Brazil
Rome	Italy
Rome/Constantinople	
Rose Valley	United States
Rouen	France
Rouen	
